log_message,is_ransomware
[2024-05-10 08:23:45] System status: clean log,[2024-05-10 10:15:32] Detected suspicious activity: is Ransomware
[2024-05-10 10:15:32] Detected suspicious activity: is Ransomware,[2024-05-10 20:11:47] Warning: Detected malicious software - is Ransomware
[2024-05-10 12:45:21] Security scan complete: clean log,[2024-05-11 01:30:45] Security breach detected: is Ransomware
[2024-05-10 15:30:10] Alert: Possible ransomware attack detected!,[2024-05-11 06:45:21] Intrusion attempt detected: is Ransomware
[2024-05-10 18:02:56] Log analysis: clean log,[2024-05-11 12:11:47] Potential threat detected: is Ransomware
[2024-05-10 20:11:47] Warning: Detected malicious software - is Ransomware,[2024-05-11 18:30:45] Network breach detected: is Ransomware
[2024-05-10 22:55:33] System check: clean log,[2024-05-12 04:11:47] Warning: Potential ransomware activity - is Ransomware
[2024-05-10 23:59:59] Suspicious file found: is Ransomware,[2024-05-12 08:59:59] Detected suspicious file: is Ransomware
[2024-05-11 01:30:45] Security breach detected: is Ransomware,[2024-05-12 10:30:45] Security breach: is Ransomware
[2024-05-11 03:15:32] Firewall status: clean log,[2024-05-12 14:45:21] Alert: Possible security threat - is Ransomware
[2024-05-11 06:45:21] Intrusion attempt detected: is Ransomware,[2024-05-13 02:30:45] Security breach detected: is Ransomware
[2024-05-11 08:30:10] System scan: clean log,[2024-05-13 06:45:21] Intrusion attempt detected: is Ransomware
[2024-05-11 10:02:56] Security update installed: clean log,[2024-05-13 12:11:47] Potential threat detected: is Ransomware
[2024-05-11 12:11:47] Potential threat detected: is Ransomware,[2024-05-13 18:30:45] Network breach detected: is Ransomware
[2024-05-11 14:55:33] System rebooted: clean log,[2024-05-14 04:11:47] Warning: Potential ransomware activity - is Ransomware
[2024-05-11 16:59:59] Malware scan complete: clean log,[2024-05-14 08:59:59] Detected suspicious file: is Ransomware
[2024-05-11 18:30:45] Network breach detected: is Ransomware,[2024-05-14 10:30:45] Security breach: is Ransomware
[2024-05-11 20:15:32] File integrity check: clean log,[2024-05-14 14:45:21] Alert: Possible security threat - is Ransomware
[2024-05-11 22:45:21] Security alert: is Ransomware,[2024-05-15 02:30:45] Security breach detected: is Ransomware
[2024-05-12 00:30:10] Log maintenance: clean log,[2024-05-15 06:45:21] Intrusion attempt detected: is Ransomware
[2024-05-12 02:02:56] Security check: clean log,[2024-05-15 12:11:47] Potential threat detected: is Ransomware
[2024-05-12 04:11:47] Warning: Potential ransomware activity - is Ransomware,[2024-05-15 18:30:45] Network breach detected: is Ransomware
[2024-05-12 06:55:33] System status: clean log,[2024-05-16 04:11:47] Warning: Potential ransomware activity - is Ransomware
[2024-05-12 08:59:59] Detected suspicious file: is Ransomware,[2024-05-16 08:59:59] Detected suspicious file: is Ransomware
[2024-05-12 10:30:45] Security breach: is Ransomware,[2024-05-16 10:30:45] Security breach: is Ransomware
